id,title,size_human,bytes_total,doi,publication_year,affiliations,url
datst.3nga8-wsr91,Data průměrné sluneční póry,2.89 TB,3178258393653,10.48700/datst.3nga8-wsr91,2026,Univerzita Karlova,https://datarepo.eosc.cz/datasets/records/datst.3nga8-wsr91
datst.6et7y-tad05,WRF simulations on impact of urban areas on cloud cover and precipitation over cities in Central Europe,763.60 GB,819907477633,10.48700/datst.6et7y-tad05,2025,Matematicko-fyzikální fakulta / Univerzita Karlova; Univerzita Karlova,https://datarepo.eosc.cz/datasets/records/datst.6et7y-tad05
datst.3q9we-bks74,Raw data for A1901 and A2103,383.52 GB,411800644258,10.48700/datst.3q9we-bks74,2022,Ústav fotoniky a elektroniky AV ČR,https://datarepo.eosc.cz/datasets/records/datst.3q9we-bks74
datst.rbrc9-za926,Raw data for A1805 and A2006 papers,354.72 GB,380879333610,10.48700/datst.rbrc9-za926,2022,Ústav fotoniky a elektroniky AV ČR,https://datarepo.eosc.cz/datasets/records/datst.rbrc9-za926
datst.dj8ys-a4r49,Raw nanopore long-read sequencing data for 61 Klebsiella pneumoniae isolates – PromethION run 240216-FNB-P2S,319.63 GB,343199657973,10.48700/datst.dj8ys-a4r49,2025,Fakultní nemocnice Brno; Masarykova univerzita; Ústav biomedicínského inženýrství / Fakulta elektrotechniky a komunikačních technologií / Vysoké učení technické v Brně,https://datarepo.eosc.cz/datasets/records/datst.dj8ys-a4r49
datst.cd6zk-k0v44,3DZD: Protein structural embeddings of ESM Atlas,273.82 GB,294017205753,10.48700/datst.cd6zk-k0v44,2024,Masarykova univerzita,https://datarepo.eosc.cz/datasets/records/datst.cd6zk-k0v44
datst.brt01-qxj73,Red mark syndrom disease video data,241.82 GB,259655189085,10.48700/datst.brt01-qxj73,2025,Dänemarks Technische Universität; Jihočeská univerzita v Českých Budějovicích; Jihočeské výzkumné centrum akvakultury a biodiverzity hydrocenóz / Fakulta rybářství a ochrany vod / Jihočeská univerzita v Českých Budějovicích,https://datarepo.eosc.cz/datasets/records/datst.brt01-qxj73
datst.1kwkf-yr258,"Data for ""Ozonization for MALDI-2 MS imaging of carbon–carbon double bond positional isomers of phosphatidylethanolamines in biological tissues""",241.40 GB,259196421378,10.48700/datst.1kwkf-yr258,2026,Lékařská fakulta / Ostravská univerzita; Masarykova univerzita; Universität Münster; Ústav chemie / Přírodovědecká fakulta / Jihočeská univerzita v Českých Budějovicích,https://datarepo.eosc.cz/datasets/records/datst.1kwkf-yr258
datst.b6as3-v2y27,CAMx simulations on BVOC impact over central Europe,169.18 GB,181661005990,10.48700/datst.b6as3-v2y27,2024,Katedra fyziky atmosféry / Matematicko-fyzikální fakulta / Univerzita Karlova; Matematicko-fyzikální fakulta / Univerzita Karlova; Univerzita Karlova,https://datarepo.eosc.cz/datasets/records/datst.b6as3-v2y27
datst.tbws0-hj147,3D-af-Surfer: Protein structural embeddings of AlphaFold DB,160.61 GB,172453492238,10.48700/datst.tbws0-hj147,2024,CEITEC MU / CEITEC; Masarykova univerzita,https://datarepo.eosc.cz/datasets/records/datst.tbws0-hj147
